time,cluster,data
NO.0,2,-13.0,23.0,-25.0,-17.0,17.0,5.0,2.0,-14.0,77.0,-10.0,-10.0,-14.0,-79.0,14.0,8.0,13.0
NO.1,2,-8.0,21.0,-22.0,-9.0,-5.0,3.0,-1.0,-9.0,13.0,0.0,-1.0,-3.0,-14.0,6.0,-1.0,3.0
NO.2,2,24.0,12.0,-8.0,-10.0,27.0,6.0,-2.0,-10.0,48.0,-21.0,1.0,-7.0,-45.0,24.0,-2.0,5.0
NO.3,2,70.0,16.0,-28.0,-8.0,34.0,4.0,2.0,-5.0,-38.0,-17.0,11.0,-8.0,43.0,16.0,-13.0,7.0
NO.4,2,19.0,11.0,-3.0,-6.0,7.0,-4.0,-3.0,-12.0,-2.0,-19.0,18.0,-15.0,1.0,20.0,-18.0,12.0
NO.5,2,26.0,5.0,-12.0,-8.0,14.0,-19.0,6.0,-14.0,20.0,-22.0,-6.0,1.0,-19.0,20.0,6.0,1.0
NO.6,2,-2.0,13.0,-2.0,-8.0,-2.0,-11.0,-2.0,-14.0,13.0,10.0,-2.0,-11.0,-11.0,-8.0,1.0,13.0
NO.7,2,24.0,24.0,-1.0,-2.0,9.0,0.0,-7.0,-2.0,0.0,-36.0,17.0,4.0,0.0,36.0,-16.0,-2.0
NO.8,2,2.0,9.0,15.0,-15.0,-4.0,-3.0,0.0,-6.0,-13.0,15.0,-3.0,-12.0,11.0,-15.0,3.0,9.0
NO.9,2,30.0,30.0,-6.0,5.0,21.0,-3.0,-6.0,2.0,21.0,-36.0,9.0,17.0,-12.0,42.0,-9.0,-10.0
NO.10,2,9.0,14.0,13.0,6.0,6.0,-10.0,-14.0,0.0,12.0,-7.0,16.0,-3.0,-9.0,8.0,-14.0,9.0
NO.11,2,13.0,0.0,-11.0,-10.0,10.0,-3.0,-8.0,-16.0,-5.0,-9.0,-8.0,-7.0,7.0,9.0,7.0,5.0
NO.12,2,25.0,18.0,-30.0,-8.0,-8.0,-9.0,-6.0,-8.0,-11.0,-9.0,9.0,7.0,13.0,12.0,-12.0,-8.0
NO.13,2,12.0,19.0,-1.0,-11.0,6.0,-2.0,2.0,-14.0,0.0,1.0,11.0,-20.0,0.0,1.0,-13.0,22.0
NO.14,2,12.0,26.0,6.0,-8.0,0.0,-1.0,-3.0,-14.0,21.0,-19.0,9.0,-17.0,-18.0,23.0,-9.0,16.0
NO.15,2,18.0,12.0,-3.0,-7.0,3.0,-9.0,-3.0,-7.0,-6.0,-6.0,6.0,-7.0,6.0,6.0,-6.0,8.0
NO.16,2,8.0,4.0,-11.0,-3.0,-7.0,-17.0,-8.0,-3.0,-7.0,-2.0,-5.0,12.0,5.0,1.0,4.0,-9.0
NO.17,2,16.0,7.0,-12.0,-12.0,-5.0,-23.0,0.0,-6.0,-23.0,4.0,9.0,-6.0,22.0,-8.0,-9.0,3.0
NO.18,2,29.0,45.0,-13.0,-22.0,11.0,3.0,-4.0,-25.0,11.0,-39.0,-10.0,-16.0,-10.0,42.0,8.0,14.0
NO.19,2,41.0,45.0,-60.0,-23.0,14.0,-15.0,3.0,-26.0,2.0,-12.0,12.0,-23.0,-4.0,15.0,-15.0,25.0
NO.20,2,23.0,28.0,-49.0,-4.0,5.0,-2.0,-4.0,-10.0,-7.0,-20.0,5.0,5.0,5.0,22.0,-7.0,-4.0
NO.21,2,12.0,29.0,-21.0,-6.0,0.0,-13.0,0.0,-6.0,6.0,-10.0,-6.0,-6.0,-9.0,11.0,6.0,9.0
NO.22,2,17.0,28.0,-21.0,-5.0,5.0,-8.0,-3.0,-8.0,8.0,-26.0,6.0,-5.0,-10.0,25.0,-6.0,4.0
NO.23,2,21.0,29.0,-17.0,-6.0,6.0,2.0,-8.0,-15.0,-6.0,-28.0,1.0,0.0,6.0,32.0,-2.0,3.0
NO.24,2,21.0,28.0,-14.0,-7.0,3.0,1.0,-5.0,-10.0,-12.0,-17.0,13.0,-4.0,12.0,19.0,-14.0,5.0
NO.25,2,10.0,9.0,-38.0,-4.0,-5.0,3.0,-2.0,-13.0,-20.0,3.0,4.0,-13.0,19.0,-3.0,-5.0,14.0
NO.26,2,32.0,35.0,-15.0,-22.0,11.0,-7.0,-3.0,-28.0,11.0,-52.0,-9.0,-19.0,-13.0,50.0,6.0,17.0
NO.27,2,17.0,34.0,-65.0,-12.0,-16.0,-2.0,-2.0,-15.0,-16.0,-11.0,28.0,-12.0,14.0,13.0,-29.0,15.0
NO.28,2,29.0,14.0,-1.0,-1.0,20.0,-4.0,-1.0,-4.0,-4.0,-19.0,8.0,2.0,5.0,20.0,-10.0,2.0
NO.29,2,38.0,17.0,-26.0,-7.0,23.0,-10.0,-2.0,-13.0,-1.0,-19.0,-11.0,-1.0,5.0,20.0,10.0,2.0
NO.30,2,26.0,28.0,-4.0,2.0,5.0,-8.0,-4.0,2.0,-13.0,-11.0,-7.0,11.0,14.0,13.0,5.0,-7.0
NO.31,2,4.0,-8.0,5.0,5.0,4.0,-2.0,-4.0,5.0,4.0,-8.0,44.0,17.0,-2.0,7.0,-46.0,-13.0
NO.32,2,6.0,2.0,-24.0,-7.0,0.0,-10.0,-3.0,-7.0,-3.0,11.0,3.0,-1.0,3.0,-13.0,-3.0,2.0
NO.33,2,17.0,13.0,-16.0,-2.0,2.0,-8.0,2.0,-5.0,-19.0,4.0,-7.0,4.0,17.0,-8.0,5.0,4.0
NO.34,2,11.0,15.0,15.0,-4.0,-1.0,-3.0,-6.0,-7.0,-4.0,3.0,3.0,5.0,5.0,-3.0,-3.0,-1.0
NO.35,2,4.0,9.0,-17.0,-2.0,1.0,-6.0,1.0,-11.0,10.0,0.0,-2.0,-2.0,-11.0,-3.0,1.0,7.0
NO.36,2,23.0,16.0,11.0,-2.0,17.0,-14.0,-7.0,-8.0,29.0,-11.0,-13.0,16.0,-28.0,10.0,11.0,-11.0
NO.37,2,-9.0,7.0,-11.0,-18.0,-12.0,4.0,-8.0,-12.0,-27.0,7.0,4.0,-12.0,27.0,-2.0,-5.0,6.0
NO.38,2,19.0,15.0,7.0,-16.0,4.0,-15.0,-5.0,-22.0,10.0,-3.0,-2.0,-16.0,-11.0,3.0,1.0,17.0
NO.39,2,17.0,6.0,-34.0,-16.0,-1.0,-12.0,8.0,-16.0,-16.0,6.0,2.0,-7.0,14.0,-9.0,-4.0,8.0
NO.40,2,26.0,8.0,-5.0,-9.0,2.0,-1.0,-5.0,-12.0,-22.0,-19.0,-5.0,-3.0,23.0,17.0,4.0,0.0
NO.41,2,30.0,18.0,-33.0,-21.0,6.0,-12.0,-3.0,-33.0,-12.0,-21.0,15.0,-24.0,12.0,21.0,-15.0,21.0
NO.42,2,-2.0,-2.0,-11.0,-9.0,4.0,-2.0,1.0,-9.0,-2.0,-11.0,7.0,-6.0,1.0,7.0,-8.0,6.0
NO.43,2,18.0,18.0,1.0,-4.0,12.0,-3.0,-5.0,-7.0,0.0,-27.0,-14.0,2.0,-3.0,27.0,13.0,-1.0
NO.44,2,10.0,8.0,-35.0,-17.0,-2.0,2.0,-5.0,-23.0,-23.0,-16.0,19.0,-20.0,22.0,17.0,-20.0,19.0
NO.45,2,23.0,24.0,1.0,-23.0,8.0,0.0,-2.0,-26.0,-1.0,-33.0,4.0,-20.0,-1.0,33.0,-5.0,16.0
NO.46,2,16.0,33.0,-39.0,-4.0,-2.0,18.0,-3.0,-7.0,-32.0,-36.0,12.0,8.0,31.0,39.0,-15.0,-4.0
NO.47,2,3.0,-13.0,17.0,-20.0,-3.0,5.0,-7.0,-26.0,-27.0,14.0,11.0,-29.0,30.0,-16.0,-10.0,25.0
NO.48,2,5.0,14.0,51.0,-19.0,-1.0,2.0,-3.0,-22.0,23.0,-13.0,27.0,-31.0,-22.0,17.0,-24.0,29.0
NO.49,2,11.0,12.0,-11.0,-6.0,2.0,0.0,-2.0,-12.0,-7.0,-12.0,7.0,-12.0,5.0,12.0,-8.0,12.0
NO.50,2,27.0,25.0,-5.0,-8.0,9.0,-2.0,-2.0,-8.0,12.0,-32.0,-32.0,-2.0,-15.0,31.0,31.0,1.0
NO.51,2,9.0,9.0,1.0,-5.0,3.0,-3.0,-2.0,-11.0,12.0,-15.0,-2.0,-5.0,-12.0,15.0,1.0,7.0
NO.52,2,1.0,-7.0,-8.0,4.0,-5.0,-4.0,-5.0,1.0,-8.0,-1.0,1.0,13.0,7.0,-1.0,-2.0,-8.0
NO.53,2,6.0,6.0,13.0,1.0,0.0,-3.0,-8.0,-2.0,12.0,-15.0,-17.0,13.0,-12.0,15.0,16.0,-11.0
NO.54,2,13.0,0.0,0.0,-7.0,1.0,0.0,0.0,-16.0,-14.0,-6.0,24.0,-25.0,13.0,3.0,-24.0,26.0
NO.55,2,15.0,-6.0,-13.0,-3.0,3.0,-12.0,-10.0,-12.0,12.0,-6.0,-28.0,6.0,-12.0,3.0,26.0,-3.0
NO.56,2,22.0,11.0,-22.0,-3.0,-2.0,2.0,-1.0,0.0,-14.0,-31.0,11.0,3.0,13.0,29.0,-13.0,-3.0
NO.57,2,8.0,12.0,-14.0,-8.0,2.0,6.0,1.0,-11.0,-7.0,-18.0,7.0,-11.0,5.0,18.0,-8.0,10.0
NO.58,2,24.0,23.0,-3.0,8.0,9.0,2.0,-6.0,8.0,36.0,-34.0,-24.0,23.0,-39.0,35.0,21.0,-19.0
NO.59,2,16.0,18.0,1.0,0.0,4.0,3.0,-2.0,-3.0,22.0,-21.0,7.0,3.0,-23.0,21.0,-8.0,0.0
NO.60,2,27.0,8.0,-3.0,1.0,6.0,-10.0,-3.0,-8.0,3.0,-19.0,-3.0,-2.0,-3.0,17.0,3.0,4.0
NO.61,0,-10.0,-28.0,19.0,-2.0,-7.0,-4.0,-2.0,-5.0,8.0,23.0,49.0,-26.0,-4.0,-28.0,-47.0,28.0
NO.62,2,31.0,8.0,23.0,-9.0,1.0,-13.0,-4.0,-3.0,-23.0,-22.0,20.0,3.0,22.0,17.0,-22.0,-6.0
NO.63,2,24.0,22.0,-17.0,-8.0,12.0,-2.0,-2.0,-14.0,12.0,-26.0,4.0,-11.0,-12.0,25.0,-5.0,13.0
NO.64,2,27.0,25.0,-10.0,0.0,9.0,-2.0,-7.0,-3.0,3.0,-32.0,8.0,9.0,-3.0,31.0,-10.0,-3.0
NO.65,2,19.0,7.0,-2.0,-4.0,7.0,-5.0,-8.0,-10.0,4.0,-14.0,-14.0,2.0,-5.0,13.0,13.0,2.0
NO.66,2,35.0,23.0,-14.0,-4.0,14.0,-1.0,-5.0,-4.0,11.0,-34.0,-11.0,8.0,-10.0,35.0,10.0,-7.0
NO.67,2,24.0,18.0,-16.0,-8.0,9.0,-3.0,-1.0,-11.0,-6.0,-24.0,5.0,-14.0,3.0,21.0,-7.0,16.0
NO.68,2,35.0,30.0,3.0,6.0,8.0,-12.0,-12.0,0.0,17.0,-42.0,0.0,15.0,-19.0,42.0,0.0,-9.0
NO.69,2,36.0,26.0,0.0,-10.0,12.0,-10.0,-3.0,-13.0,12.0,-40.0,6.0,-10.0,-12.0,38.0,-6.0,11.0
NO.70,2,49.0,28.0,-19.0,-6.0,16.0,-17.0,-1.0,-9.0,-2.0,-38.0,-16.0,-3.0,1.0,34.0,14.0,3.0
NO.71,2,10.0,-3.0,-16.0,-15.0,-17.0,-12.0,-4.0,-18.0,-41.0,-3.0,17.0,3.0,40.0,3.0,-13.0,-3.0
NO.72,2,44.0,21.0,10.0,-7.0,26.0,-9.0,1.0,-10.0,-4.0,-30.0,13.0,-7.0,2.0,30.0,-11.0,11.0
NO.73,2,26.0,-14.0,22.0,9.0,14.0,-23.0,-20.0,12.0,-4.0,-11.0,13.0,21.0,5.0,10.0,-11.0,-15.0
NO.74,2,-14.0,-1.0,0.0,-5.0,-14.0,2.0,3.0,1.0,-5.0,2.0,0.0,10.0,4.0,2.0,0.0,-8.0
NO.75,2,9.0,17.0,-6.0,-3.0,3.0,2.0,-3.0,-6.0,6.0,-25.0,3.0,-3.0,-9.0,23.0,-3.0,6.0
NO.76,2,10.0,23.0,-7.0,20.0,10.0,5.0,-25.0,23.0,7.0,-22.0,26.0,14.0,-8.0,23.0,-25.0,-4.0
NO.77,2,34.0,10.0,33.0,-4.0,19.0,-8.0,0.0,-13.0,1.0,-11.0,18.0,-16.0,1.0,7.0,-15.0,20.0
NO.78,2,16.0,5.0,-6.0,-4.0,19.0,-1.0,-15.0,-4.0,19.0,-1.0,-6.0,-7.0,-17.0,-1.0,9.0,11.0
NO.79,2,-12.0,-14.0,1.0,-16.0,-9.0,4.0,1.0,-19.0,0.0,22.0,-23.0,5.0,3.0,-20.0,28.0,-4.0
NO.80,2,26.0,8.0,-8.0,-3.0,20.0,-7.0,-11.0,0.0,14.0,-13.0,-5.0,15.0,-10.0,14.0,7.0,-15.0
NO.81,2,34.0,-3.0,-15.0,6.0,25.0,-12.0,-24.0,3.0,13.0,-12.0,3.0,9.0,-11.0,9.0,3.0,-3.0
NO.82,2,28.0,14.0,36.0,8.0,19.0,2.0,-27.0,5.0,19.0,-31.0,21.0,11.0,-17.0,32.0,-15.0,-4.0
NO.83,2,19.0,7.0,-11.0,4.0,7.0,-2.0,-14.0,-2.0,1.0,-14.0,10.0,4.0,1.0,13.0,-8.0,1.0
NO.84,2,32.0,10.0,-4.0,-3.0,29.0,7.0,2.0,-3.0,-4.0,-17.0,-28.0,6.0,8.0,16.0,29.0,-6.0
NO.85,2,8.0,-7.0,-19.0,-4.0,-10.0,-7.0,-10.0,-4.0,-16.0,17.0,11.0,-4.0,17.0,-19.0,-10.0,5.0
NO.86,2,15.0,-7.0,7.0,-15.0,-12.0,-4.0,-11.0,0.0,-51.0,-10.0,19.0,21.0,51.0,11.0,-17.0,-30.0
NO.87,2,10.0,-1.0,-1.0,-2.0,1.0,-7.0,-1.0,-2.0,7.0,-4.0,-4.0,1.0,-8.0,2.0,5.0,1.0
NO.88,2,6.0,-3.0,-9.0,-4.0,-3.0,-3.0,3.0,2.0,-3.0,-3.0,0.0,8.0,3.0,0.0,0.0,-7.0
NO.89,2,19.0,15.0,14.0,-4.0,7.0,-3.0,2.0,-7.0,4.0,-15.0,-4.0,-1.0,-5.0,15.0,5.0,2.0
NO.90,2,29.0,49.0,31.0,1.0,20.0,10.0,-2.0,-2.0,11.0,-35.0,1.0,7.0,-10.0,43.0,1.0,-2.0
NO.91,2,28.0,18.0,4.0,-10.0,10.0,3.0,-5.0,-13.0,7.0,-33.0,-5.0,-4.0,-8.0,33.0,4.0,2.0
NO.92,2,12.0,-8.0,-16.0,0.0,6.0,-5.0,-4.0,-6.0,12.0,1.0,-10.0,6.0,-12.0,-5.0,8.0,-3.0
NO.93,2,-6.0,-5.0,-11.0,-2.0,-3.0,4.0,-5.0,-11.0,-9.0,-2.0,-2.0,1.0,9.0,1.0,1.0,4.0
NO.94,2,15.0,24.0,-4.0,-13.0,15.0,0.0,-16.0,-19.0,3.0,-15.0,-40.0,8.0,0.0,21.0,38.0,-10.0
NO.95,2,17.0,14.0,-12.0,-8.0,8.0,2.0,-9.0,-14.0,5.0,-28.0,-30.0,1.0,-7.0,26.0,27.0,1.0
NO.96,2,11.0,1.0,-31.0,-6.0,8.0,-5.0,-4.0,-9.0,-4.0,-2.0,2.0,-3.0,5.0,1.0,-4.0,3.0
NO.97,2,-4.0,0.0,-20.0,-15.0,8.0,6.0,-14.0,-24.0,5.0,6.0,-32.0,0.0,2.0,-3.0,31.0,0.0
NO.98,2,59.0,45.0,-34.0,-14.0,32.0,9.0,-7.0,-32.0,-1.0,-54.0,-46.0,-29.0,2.0,54.0,44.0,28.0
NO.99,2,35.0,-3.0,-30.0,-11.0,2.0,-18.0,-9.0,-20.0,-25.0,-6.0,-6.0,-8.0,26.0,3.0,3.0,10.0
NO.100,2,15.0,18.0,1.0,-5.0,9.0,0.0,-5.0,-8.0,9.0,-21.0,-5.0,1.0,-9.0,21.0,4.0,1.0
NO.101,2,-1.0,-8.0,-6.0,-2.0,-7.0,4.0,-9.0,-5.0,-13.0,-2.0,0.0,13.0,14.0,1.0,0.0,-8.0
NO.102,2,15.0,10.0,-2.0,-9.0,12.0,1.0,-2.0,-12.0,0.0,-17.0,-8.0,-9.0,0.0,16.0,7.0,9.0
NO.103,2,25.0,15.0,-2.0,-6.0,4.0,-3.0,-2.0,-9.0,-2.0,-15.0,-11.0,-9.0,1.0,15.0,10.0,12.0
NO.104,2,9.0,-6.0,-5.0,0.0,0.0,-3.0,-5.0,-6.0,-15.0,3.0,-14.0,6.0,15.0,-6.0,13.0,-3.0
NO.105,2,24.0,10.0,-48.0,-17.0,15.0,-2.0,-6.0,-20.0,3.0,4.0,-9.0,-8.0,0.0,-2.0,6.0,4.0
NO.106,2,32.0,-14.0,-29.0,1.0,14.0,-11.0,-8.0,-5.0,-13.0,-2.0,25.0,7.0,17.0,-2.0,-26.0,-5.0
NO.107,2,22.0,27.0,16.0,-3.0,10.0,0.0,-5.0,-6.0,34.0,-42.0,-14.0,6.0,-35.0,42.0,13.0,-3.0
NO.108,2,8.0,10.0,5.0,2.0,8.0,-2.0,-4.0,-1.0,14.0,-14.0,-10.0,8.0,-16.0,13.0,8.0,-4.0
NO.109,2,11.0,6.0,1.0,0.0,5.0,-3.0,-2.0,-3.0,11.0,-15.0,-2.0,3.0,-10.0,15.0,1.0,0.0
NO.110,2,14.0,10.0,3.0,3.0,5.0,1.0,-3.0,0.0,8.0,-17.0,0.0,6.0,-7.0,16.0,0.0,-3.0
NO.111,2,-1.0,2.0,-3.0,-2.0,2.0,2.0,-3.0,-5.0,11.0,-10.0,-6.0,-2.0,-10.0,8.0,6.0,4.0
NO.112,2,28.0,24.0,8.0,-5.0,10.0,0.0,-4.0,-8.0,13.0,-27.0,-13.0,1.0,-14.0,27.0,11.0,1.0
NO.113,2,13.0,15.0,11.0,-5.0,1.0,3.0,-1.0,-8.0,-2.0,-15.0,11.0,-8.0,1.0,12.0,-13.0,10.0
NO.114,2,-6.0,-13.0,-26.0,2.0,0.0,2.0,-2.0,2.0,-15.0,-1.0,-59.0,17.0,15.0,-1.0,58.0,-10.0
NO.115,2,21.0,26.0,8.0,-4.0,9.0,-1.0,-1.0,-10.0,15.0,-40.0,8.0,-7.0,-18.0,41.0,-7.0,8.0
NO.116,2,10.0,16.0,-21.0,-1.0,7.0,10.0,6.0,-1.0,-29.0,-29.0,-18.0,17.0,28.0,28.0,15.0,-13.0
NO.117,2,8.0,16.0,-12.0,1.0,-1.0,4.0,-3.0,-2.0,5.0,-17.0,-6.0,7.0,-4.0,19.0,6.0,-8.0
NO.118,2,20.0,13.0,-11.0,0.0,-1.0,-2.0,-5.0,-6.0,14.0,-20.0,-11.0,6.0,-16.0,19.0,10.0,-3.0
NO.119,2,23.0,25.0,-18.0,-1.0,11.0,-5.0,-9.0,-7.0,23.0,-47.0,-18.0,20.0,-25.0,46.0,15.0,-16.0
NO.120,2,12.0,-3.0,-17.0,1.0,-6.0,-9.0,-5.0,-5.0,-48.0,12.0,-5.0,7.0,48.0,-15.0,4.0,-5.0
NO.121,2,9.0,3.0,13.0,-3.0,3.0,-3.0,-5.0,0.0,-24.0,6.0,-17.0,9.0,24.0,-6.0,16.0,-6.0
NO.122,2,3.0,-1.0,4.0,-7.0,0.0,2.0,-5.0,-10.0,-21.0,-7.0,-5.0,5.0,21.0,8.0,4.0,-4.0
NO.123,2,6.0,-14.0,7.0,-9.0,-3.0,-8.0,-5.0,-9.0,-15.0,7.0,7.0,-3.0,15.0,-11.0,-8.0,3.0
NO.124,2,6.0,0.0,7.0,-1.0,-6.0,-3.0,-8.0,-4.0,-3.0,-3.0,-23.0,23.0,3.0,3.0,22.0,-19.0
NO.125,2,2.0,2.0,-2.0,-5.0,-1.0,2.0,-5.0,-11.0,-13.0,-1.0,4.0,-5.0,14.0,-1.0,-5.0,7.0
NO.126,2,-1.0,0.0,-12.0,-2.0,-4.0,0.0,-3.0,-5.0,-19.0,-3.0,0.0,4.0,20.0,3.0,0.0,-2.0
NO.127,2,4.0,1.0,-2.0,-14.0,-2.0,-8.0,1.0,-23.0,-8.0,7.0,-23.0,-20.0,7.0,-8.0,22.0,19.0
NO.128,2,6.0,-4.0,-24.0,-10.0,-6.0,-10.0,-6.0,-16.0,-36.0,14.0,0.0,-7.0,36.0,-16.0,0.0,11.0
NO.129,2,4.0,-7.0,-3.0,-24.0,-5.0,-13.0,-3.0,-36.0,-5.0,11.0,-3.0,-33.0,4.0,-13.0,0.0,30.0
NO.130,2,2.0,-5.0,-8.0,6.0,-4.0,-8.0,1.0,3.0,-16.0,-5.0,-11.0,15.0,14.0,1.0,10.0,-9.0
NO.131,2,2.0,-1.0,-2.0,0.0,2.0,5.0,-2.0,-6.0,-4.0,-1.0,-11.0,-6.0,2.0,2.0,10.0,9.0
NO.132,2,0.0,-2.0,10.0,1.0,-3.0,-2.0,-2.0,-2.0,6.0,4.0,-17.0,1.0,-6.0,-5.0,16.0,1.0
NO.133,2,3.0,3.0,-9.0,5.0,-3.0,3.0,-3.0,2.0,-18.0,-6.0,-3.0,11.0,18.0,6.0,3.0,-7.0
NO.134,2,-1.0,-12.0,-10.0,1.0,-1.0,-12.0,-1.0,4.0,-7.0,-3.0,-1.0,19.0,5.0,0.0,-1.0,-14.0
NO.135,2,0.0,3.0,9.0,-5.0,-3.0,3.0,-6.0,-11.0,3.0,-6.0,-6.0,-5.0,-3.0,6.0,6.0,7.0
NO.136,0,3.0,-18.0,-48.0,-11.0,-15.0,-21.0,-3.0,-14.0,-108.0,24.0,51.0,-11.0,108.0,-27.0,-51.0,10.0
NO.137,2,8.0,7.0,2.0,-8.0,-7.0,4.0,-10.0,-11.0,-37.0,4.0,-4.0,7.0,38.0,-2.0,2.0,-5.0
NO.138,2,5.0,4.0,-11.0,-11.0,-13.0,1.0,-8.0,-11.0,-55.0,7.0,7.0,1.0,56.0,-5.0,-8.0,-2.0
NO.139,2,10.0,-5.0,0.0,-14.0,-8.0,-5.0,-6.0,-17.0,-17.0,13.0,-6.0,-8.0,16.0,-14.0,3.0,7.0
NO.140,2,1.0,-11.0,-9.0,-3.0,-2.0,-11.0,-6.0,-6.0,-5.0,7.0,-15.0,9.0,4.0,-11.0,12.0,-6.0
NO.141,0,12.0,-31.0,-42.0,1.0,-6.0,-67.0,0.0,-5.0,-3.0,74.0,-33.0,10.0,3.0,-85.0,30.0,-5.0
NO.142,2,1.0,-3.0,-14.0,-4.0,-2.0,-6.0,-2.0,-4.0,-5.0,6.0,1.0,-1.0,4.0,-6.0,-2.0,2.0
NO.143,2,-4.0,-4.0,-10.0,-8.0,2.0,-7.0,2.0,-8.0,2.0,2.0,-4.0,-8.0,-4.0,-7.0,2.0,10.0
